YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY
2025,6,1,7,10140,1014005,30140,ABQ,10800,1080003,32575,BUR,1725,1739.0,14.0,1830,1835.0,5.0
2025,6,1,7,10140,1014005,30140,ABQ,12892,1289208,32575,LAX,600,554.0,-6.0,713,649.0,-24.0
2025,6,1,7,10140,1014005,30140,ABQ,12892,1289208,32575,LAX,650,650.0,0.0,800,750.0,-10.0
2025,6,1,7,10140,1014005,30140,ABQ,12892,1289208,32575,LAX,1154,1244.0,50.0,1310,1358.0,48.0
2025,6,1,7,10140,1014005,30140,ABQ,12892,1289208,32575,LAX,1314,1315.0,1.0,1427,1451.0,24.0
2025,6,1,7,10140,1014005,30140,ABQ,12892,1289208,32575,LAX,1807,1839.0,32.0,1917,1938.0,21.0
2025,6,1,7,10140,1014005,30140,ABQ,12892,1289208,32575,LAX,1830,1831.0,1.0,1935,1926.0,-9.0
2025,6,1,7,10140,1014005,30140,ABQ,12892,1289208,32575,LAX,1855,1904.0,9.0,2007,2000.0,-7.0
2025,6,1,7,10140,1014005,30140,ABQ,12954,1295407,32575,LGB,1620,1644.0,24.0,1720,1735.0,15.0
2025,6,1,7,10140,1014005,30140,ABQ,13796,1379610,32457,OAK,1440,1510.0,30.0,1610,1643.0,33.0
2025,6,1,7,10140,1014005,30140,ABQ,14679,1467903,33570,SAN,1005,1000.0,-5.0,1100,1048.0,-12.0
2025,6,1,7,10140,1014005,30140,ABQ,14679,1467903,33570,SAN,2025,2141.0,76.0,2120,2225.0,65.0
2025,6,1,7,10140,1014005,30140,ABQ,14771,1477104,32457,SFO,705,700.0,-5.0,843,912.0,29.0
2025,6,1,7,10140,1014005,30140,ABQ,14771,1477104,32457,SFO,1350,1413.0,23.0,1528,1554.0,26.0
2025,6,1,7,10157,1015706,30157,ACV,11292,1129202,30325,DEN,1235,1225.0,-10.0,1621,1638.0,17.0
2025,6,1,7,10157,1015706,30157,ACV,12892,1289208,32575,LAX,1555,1549.0,-6.0,1751,1747.0,-4.0
2025,6,1,7,10157,1015706,30157,ACV,14771,1477104,32457,SFO,500,450.0,-10.0,612,555.0,-17.0
2025,6,1,7,10157,1015706,30157,ACV,14771,1477104,32457,SFO,1408,1412.0,4.0,1523,1520.0,-3.0
