,YEAR,MONTH,DAY,DAY_OF_WEEK,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,DATE
1061,2025,6,1,7,LAX,ABQ,845,831,-14,1150,1208,18,2025-06-01
1062,2025,6,1,7,LAX,ABQ,900,859,-1,1200,1217,17,2025-06-01
1063,2025,6,1,7,LAX,ABQ,944,936,-8,1244,1250,6,2025-06-01
1064,2025,6,1,7,LAX,ABQ,1440,1506,26,1733,1804,31,2025-06-01
1065,2025,6,1,7,LAX,ABQ,1459,1537,38,1758,1829,31,2025-06-01
1067,2025,6,1,7,LAX,ABQ,2010,2009,-1,2306,2302,-4,2025-06-01
1068,2025,6,1,7,LAX,ACV,1315,1311,-4,1513,1517,4,2025-06-01
1069,2025,6,1,7,LAX,ANC,1945,1942,-3,20,25,5,2025-06-01
1070,2025,6,1,7,LAX,ATL,615,611,-4,1338,1324,-14,2025-06-01
1071,2025,6,1,7,LAX,ATL,730,730,0,1447,1434,-13,2025-06-01
1072,2025,6,1,7,LAX,ATL,835,835,0,1604,1548,-16,2025-06-01
1073,2025,6,1,7,LAX,ATL,940,932,-8,1703,1639,-24,2025-06-01
1074,2025,6,1,7,LAX,ATL,959,955,-4,1722,1703,-19,2025-06-01
1075,2025,6,1,7,LAX,ATL,1110,1105,-5,1835,1815,-20,2025-06-01
1076,2025,6,1,7,LAX,ATL,1210,1206,-4,1929,1908,-21,2025-06-01
1077,2025,6,1,7,LAX,ATL,1237,1248,11,1959,2000,1,2025-06-01
1078,2025,6,1,7,LAX,ATL,1242,1305,23,2021,2048,27,2025-06-01
1079,2025,6,1,7,LAX,ATL,1310,1314,4,2040,2030,-10,2025-06-01
1080,2025,6,1,7,LAX,ATL,1423,1422,-1,2149,2138,-11,2025-06-01
1081,2025,6,1,7,LAX,ATL,1700,1718,18,21,29,8,2025-06-01
1083,2025,6,1,7,LAX,ATL,2145,2141,-4,501,449,-12,2025-06-01
1084,2025,6,1,7,LAX,ATL,2250,2246,-4,610,556,-14,2025-06-01
1085,2025,6,1,7,LAX,ATL,2310,2312,2,633,645,12,2025-06-01
1086,2025,6,1,7,LAX,ATL,2355,2354,-1,720,721,1,2025-06-01
1087,2025,6,1,7,LAX,AUS,645,639,-6,1140,1125,-15,2025-06-01
1088,2025,6,1,7,LAX,AUS,705,702,-3,1205,1147,-18,2025-06-01
1089,2025,6,1,7,LAX,AUS,730,727,-3,1227,1215,-12,2025-06-01
1090,2025,6,1,7,LAX,AUS,746,739,-7,1244,1225,-19,2025-06-01
1091,2025,6,1,7,LAX,AUS,925,932,7,1451,1431,-20,2025-06-01
1092,2025,6,1,7,LAX,AUS,1000,952,-8,1506,1453,-13,2025-06-01
1094,2025,6,1,7,LAX,AUS,1425,1503,38,1920,1951,31,2025-06-01
1095,2025,6,1,7,LAX,AUS,1555,1550,-5,2054,2037,-17,2025-06-01
1096,2025,6,1,7,LAX,AUS,1852,1919,27,10,20,10,2025-06-01
1097,2025,6,1,7,LAX,AUS,1859,1847,-12,2354,5,11,2025-06-01
1099,2025,6,1,7,LAX,AUS,1919,1910,-9,14,2400,-14,2025-06-01
1100,2025,6,1,7,LAX,BLI,1846,1859,13,2132,2136,4,2025-06-01
1101,2025,6,1,7,LAX,BNA,530,525,-5,1135,1114,-21,2025-06-01
1102,2025,6,1,7,LAX,BNA,655,648,-7,1250,1237,-13,2025-06-01
1103,2025,6,1,7,LAX,BNA,1034,1034,0,1636,1634,-2,2025-06-01
1104,2025,6,1,7,LAX,BNA,1236,1237,1,1840,1839,-1,2025-06-01
1105,2025,6,1,7,LAX,BNA,1735,1750,15,2345,2345,0,2025-06-01
1106,2025,6,1,7,LAX,BNA,1845,1913,28,41,110,29,2025-06-01
1107,2025,6,1,7,LAX,BNA,2320,2314,-6,530,506,-24,2025-06-01
1108,2025,6,1,7,LAX,BOI,1155,1209,14,1459,1458,-1,2025-06-01
1109,2025,6,1,7,LAX,BOI,1245,1236,-9,1559,1535,-24,2025-06-01
1110,2025,6,1,7,LAX,BOI,1945,1939,-6,2252,2234,-18,2025-06-01
1112,2025,6,1,7,LAX,BOS,600,548,-12,1439,1431,-8,2025-06-01
1113,2025,6,1,7,LAX,BOS,700,658,-2,1535,1557,22,2025-06-01
1114,2025,6,1,7,LAX,BOS,750,743,-7,1632,1622,-10,2025-06-01
1115,2025,6,1,7,LAX,BOS,825,817,-8,1700,1647,-13,2025-06-01
1116,2025,6,1,7,LAX,BOS,835,834,-1,1718,1714,-4,2025-06-01
1117,2025,6,1,7,LAX,BOS,1050,1045,-5,1930,1923,-7,2025-06-01
1118,2025,6,1,7,LAX,BOS,1150,1153,3,2035,2039,4,2025-06-01
1119,2025,6,1,7,LAX,BOS,1250,1241,-9,2134,2116,-18,2025-06-01
1120,2025,6,1,7,LAX,BOS,1400,1354,-6,2234,2218,-16,2025-06-01
1121,2025,6,1,7,LAX,BOS,1520,1515,-5,2348,2350,2,2025-06-01
1122,2025,6,1,7,LAX,BOS,2105,2114,9,540,538,-2,2025-06-01
1123,2025,6,1,7,LAX,BOS,2227,2226,-1,700,657,-3,2025-06-01
1124,2025,6,1,7,LAX,BOS,2234,2229,-5,715,706,-9,2025-06-01
1125,2025,6,1,7,LAX,BOS,2235,2235,0,713,705,-8,2025-06-01
1126,2025,6,1,7,LAX,BUF,1410,1419,9,2200,2203,3,2025-06-01
1127,2025,6,1,7,LAX,BWI,640,639,-1,1440,1427,-13,2025-06-01
1128,2025,6,1,7,LAX,BWI,1136,1129,-7,1939,1937,-2,2025-06-01
1129,2025,6,1,7,LAX,BWI,1340,1421,41,2145,2223,38,2025-06-01
1130,2025,6,1,7,LAX,BWI,2215,2215,0,620,618,-2,2025-06-01
1131,2025,6,1,7,LAX,BWI,2359,2359,0,807,809,2,2025-06-01
1132,2025,6,1,7,LAX,BZN,1121,1117,-4,1450,1436,-14,2025-06-01
1133,2025,6,1,7,LAX,BZN,1800,1751,-9,2139,2116,-23,2025-06-01
1134,2025,6,1,7,LAX,CLE,1300,1253,-7,2033,2022,-11,2025-06-01
1135,2025,6,1,7,LAX,CLE,2120,2111,-9,453,448,-5,2025-06-01
1136,2025,6,1,7,LAX,CLT,600,600,0,1346,1334,-12,2025-06-01
1137,2025,6,1,7,LAX,CLT,730,725,-5,1515,1504,-11,2025-06-01
1138,2025,6,1,7,LAX,CLT,930,930,0,1715,1732,17,2025-06-01
1139,2025,6,1,7,LAX,CLT,1130,1147,17,1918,1929,11,2025-06-01
1140,2025,6,1,7,LAX,CLT,1407,1405,-2,2155,2136,-19,2025-06-01
1141,2025,6,1,7,LAX,CLT,2150,2224,34,533,602,29,2025-06-01
1142,2025,6,1,7,LAX,CLT,2239,2239,0,622,620,-2,2025-06-01
1144,2025,6,1,7,LAX,CVG,1350,1348,-2,2104,2106,2,2025-06-01
1145,2025,6,1,7,LAX,CVG,2245,2244,-1,555,550,-5,2025-06-01
1146,2025,6,1,7,LAX,DAL,505,501,-4,1010,957,-13,2025-06-01
1147,2025,6,1,7,LAX,DAL,920,924,4,1430,1413,-17,2025-06-01
1148,2025,6,1,7,LAX,DAL,1555,1627,32,2100,2126,26,2025-06-01
1149,2025,6,1,7,LAX,DAL,1825,1823,-2,2330,2307,-23,2025-06-01
1150,2025,6,1,7,LAX,DCA,745,736,-9,1540,1528,-12,2025-06-01
1152,2025,6,1,7,LAX,DCA,1248,1259,11,2059,2101,2,2025-06-01
1153,2025,6,1,7,LAX,DCA,1255,1309,14,2052,2124,32,2025-06-01
1154,2025,6,1,7,LAX,DEN,522,519,-3,841,835,-6,2025-06-01
1155,2025,6,1,7,LAX,DEN,605,558,-7,935,914,-21,2025-06-01
1156,2025,6,1,7,LAX,DEN,615,700,45,948,1043,55,2025-06-01
1157,2025,6,1,7,LAX,DEN,706,701,-5,1031,1029,-2,2025-06-01
1158,2025,6,1,7,LAX,DEN,815,810,-5,1139,1127,-12,2025-06-01
1159,2025,6,1,7,LAX,DEN,850,843,-7,1213,1224,11,2025-06-01
1160,2025,6,1,7,LAX,DEN,900,857,-3,1227,1209,-18,2025-06-01
1161,2025,6,1,7,LAX,DEN,915,917,2,1240,1227,-13,2025-06-01
1162,2025,6,1,7,LAX,DEN,1050,1038,-12,1425,1410,-15,2025-06-01
1163,2025,6,1,7,LAX,DEN,1052,1052,0,1419,1420,1,2025-06-01
1164,2025,6,1,7,LAX,DEN,1239,1231,-8,1600,1558,-2,2025-06-01
1165,2025,6,1,7,LAX,DEN,1255,1258,3,1625,1632,7,2025-06-01
1166,2025,6,1,7,LAX,DEN,1255,1301,6,1623,1651,28,2025-06-01
1167,2025,6,1,7,LAX,DEN,1435,1432,-3,1805,1845,40,2025-06-01
1168,2025,6,1,7,LAX,DEN,1445,1508,23,1810,1822,12,2025-06-01
1169,2025,6,1,7,LAX,DEN,1457,1458,1,1819,1821,2,2025-06-01
1171,2025,6,1,7,LAX,DEN,1627,1617,-10,1949,2114,85,2025-06-01
1172,2025,6,1,7,LAX,DEN,1830,1842,12,2200,2208,8,2025-06-01
1173,2025,6,1,7,LAX,DEN,1918,1914,-4,2247,2227,-20,2025-06-01
1174,2025,6,1,7,LAX,DEN,1935,1953,18,2300,2302,2,2025-06-01
1175,2025,6,1,7,LAX,DEN,2030,2026,-4,2354,2343,-11,2025-06-01
1176,2025,6,1,7,LAX,DFW,35,33,-2,532,528,-4,2025-06-01
1177,2025,6,1,7,LAX,DFW,530,525,-5,1038,1025,-13,2025-06-01
1178,2025,6,1,7,LAX,DFW,600,600,0,1106,1101,-5,2025-06-01
1179,2025,6,1,7,LAX,DFW,700,656,-4,1209,1157,-12,2025-06-01
1181,2025,6,1,7,LAX,DFW,835,826,-9,1343,1323,-20,2025-06-01
1182,2025,6,1,7,LAX,DFW,904,904,0,1414,1358,-16,2025-06-01
1183,2025,6,1,7,LAX,DFW,1110,1107,-3,1617,1607,-10,2025-06-01
1184,2025,6,1,7,LAX,DFW,1220,1218,-2,1726,1726,0,2025-06-01
1186,2025,6,1,7,LAX,DFW,1438,1436,-2,1944,1933,-11,2025-06-01
1187,2025,6,1,7,LAX,DFW,1535,1606,31,2044,2105,21,2025-06-01
1188,2025,6,1,7,LAX,DFW,1644,1638,-6,2150,2203,13,2025-06-01
1189,2025,6,1,7,LAX,DFW,1825,1819,-6,2331,2317,-14,2025-06-01
1190,2025,6,1,7,LAX,DFW,1859,1858,-1,2359,2359,0,2025-06-01
1191,2025,6,1,7,LAX,DFW,1903,1854,-9,26,2356,-30,2025-06-01
