YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY
2025,6,1,7,10140,1014005,30140,ABQ,10800,1080003,32575,BUR,1725,1739,14.00,1830,1835,5.00
2025,6,1,7,10140,1014005,30140,ABQ,12892,1289208,32575,LAX,0600,0554,-6.00,0713,0649,-24.00
2025,6,1,7,10140,1014005,30140,ABQ,12892,1289208,32575,LAX,0650,0650,0.00,0800,0750,-10.00
2025,6,1,7,10140,1014005,30140,ABQ,12892,1289208,32575,LAX,1154,1244,50.00,1310,1358,48.00
2025,6,1,7,10140,1014005,30140,ABQ,12892,1289208,32575,LAX,1314,1315,1.00,1427,1451,24.00
2025,6,1,7,10140,1014005,30140,ABQ,12892,1289208,32575,LAX,1807,1839,32.00,1917,1938,21.00
2025,6,1,7,10140,1014005,30140,ABQ,12892,1289208,32575,LAX,1830,1831,1.00,1935,1926,-9.00
2025,6,1,7,10140,1014005,30140,ABQ,12892,1289208,32575,LAX,1855,1904,9.00,2007,2000,-7.00
2025,6,1,7,10140,1014005,30140,ABQ,12954,1295407,32575,LGB,1620,1644,24.00,1720,1735,15.00
2025,6,1,7,10140,1014005,30140,ABQ,13796,1379610,32457,OAK,1440,1510,30.00,1610,1643,33.00
2025,6,1,7,10140,1014005,30140,ABQ,14679,1467903,33570,SAN,1005,1000,-5.00,1100,1048,-12.00
2025,6,1,7,10140,1014005,30140,ABQ,14679,1467903,33570,SAN,2025,2141,76.00,2120,2225,65.00
2025,6,1,7,10140,1014005,30140,ABQ,14771,1477104,32457,SFO,0705,0700,-5.00,0843,0912,29.00
2025,6,1,7,10140,1014005,30140,ABQ,14771,1477104,32457,SFO,1350,1413,23.00,1528,1554,26.00
2025,6,1,7,10157,1015706,30157,ACV,11292,1129202,30325,DEN,1235,1225,-10.00,1621,1638,17.00
2025,6,1,7,10157,1015706,30157,ACV,12892,1289208,32575,LAX,1555,1549,-6.00,1751,1747,-4.00
2025,6,1,7,10157,1015706,30157,ACV,14771,1477104,32457,SFO,0500,0450,-10.00,0612,0555,-17.00
2025,6,1,7,10157,1015706,30157,ACV,14771,1477104,32457,SFO,1408,1412,4.00,1523,1520,-3.00
2025,6,1,7,10157,1015706,30157,ACV,14771,1477104,32457,SFO,1510,1505,-5.00,1626,1619,-7.00
2025,6,1,7,10157,1015706,30157,ACV,14771,1477104,32457,SFO,1853,1846,-7.00,2005,2022,17.00
2025,6,1,7,10299,1029906,30299,ANC,12892,1289208,32575,LAX,0018,0018,0.00,0641,0602,-39.00
2025,6,1,7,10299,1029906,30299,ANC,14771,1477104,32457,SFO,1100,1057,-3.00,1643,1620,-23.00
2025,6,1,7,10299,1029906,30299,ANC,14771,1477104,32457,SFO,1551,1546,-5.00,2136,2103,-33.00
2025,6,1,7,10397,1039707,30397,ATL,10800,1080003,32575,BUR,1000,1000,0.00,1145,1144,-1.00
2025,6,1,7,10397,1039707,30397,ATL,11638,1163807,31638,FAT,1915,1911,-4.00,2102,2053,-9.00
2025,6,1,7,10397,1039707,30397,ATL,12892,1289208,32575,LAX,0700,0655,-5.00,0849,0839,-10.00
2025,6,1,7,10397,1039707,30397,ATL,12892,1289208,32575,LAX,0805,0802,-3.00,1000,0939,-21.00
